cm_bin;n_child;religion;st_o_lv;med_exp;age;edu_hus;work;edu
0;0;1;1;1;22;4;0;4
0;6;1;1;0;35;2;1;2
0;2;1;4;1;29;4;0;3
1;1;1;3;1;21;2;0;2
0;1;1;2;1;40;4;0;3
0;5;1;4;1;30;4;0;3
0;3;1;4;1;41;3;1;1
0;0;1;4;1;22;4;0;4
1;4;0;4;1;36;4;0;4
1;3;0;4;1;33;4;0;4
0;1;1;4;1;30;3;0;1
1;3;1;2;1;26;4;0;4
1;1;1;4;1;26;4;1;4
1;2;0;3;1;28;4;0;3
0;7;1;3;1;32;3;1;3
1;2;1;4;1;26;4;0;2
1;1;1;4;1;21;4;1;3
0;3;1;4;1;27;3;0;2
1;3;0;4;1;30;4;1;4
0;3;0;4;1;28;4;1;4
0;1;0;3;1;25;4;0;4
0;4;1;4;1;43;3;0;3
1;3;0;4;1;40;4;0;2
0;3;1;1;1;26;3;0;2
1;2;1;3;1;29;4;1;4
1;4;1;4;1;35;4;0;3
1;4;1;3;1;34;4;1;4
0;3;1;2;1;36;3;1;4
1;6;1;2;1;33;4;0;3
1;1;1;1;1;25;3;0;3
1;4;0;3;1;44;4;0;4
0;0;1;2;1;22;1;0;2
1;8;1;4;1;41;4;0;4
0;0;1;2;1;21;3;0;3
0;0;1;1;1;24;4;1;3
0;0;1;2;1;29;2;0;3
0;7;1;3;1;45;3;1;1
0;3;1;2;1;40;3;0;3
0;4;1;2;1;47;1;0;1
1;3;1;3;1;29;4;1;2
0;1;0;3;1;28;4;0;4
1;1;0;4;1;21;4;0;4
1;5;1;4;1;29;3;0;2
0;2;1;3;0;47;2;0;1
1;2;1;3;1;21;4;0;3
1;1;0;4;1;26;4;1;4
1;1;1;2;1;22;4;1;4
0;0;1;3;1;45;4;0;3
1;4;1;3;1;44;4;0;2
1;1;1;2;1;23;3;0;3
1;2;1;4;1;32;3;1;3
1;5;0;4;1;43;4;0;4
0;1;1;4;1;37;4;0;3
0;1;0;4;1;27;4;1;4
1;2;1;4;1;29;4;0;4
0;2;1;4;1;30;4;0;2
0;4;1;3;1;29;4;1;3
0;5;1;1;1;27;3;0;2
0;6;0;4;1;49;4;1;4
0;4;1;2;0;32;2;0;1
1;2;1;3;1;24;3;0;3
1;4;1;4;1;29;4;1;2
1;4;0;4;1;48;4;0;4
0;10;1;2;1;42;4;1;3
0;0;0;4;1;25;4;0;4
1;6;1;3;1;35;3;0;3
0;0;1;2;1;28;4;0;3
0;6;1;2;1;31;1;0;1
0;2;1;2;0;31;4;0;3
0;6;1;4;1;46;4;0;4
1;3;1;4;1;26;4;0;3
0;1;1;2;1;25;4;0;2
0;1;1;4;1;21;2;1;1
0;0;1;4;1;25;3;0;2
0;2;1;1;0;24;2;0;2
1;3;1;3;1;33;4;0;4
1;1;0;2;1;21;3;0;3
1;3;1;3;1;33;3;0;3
1;4;1;3;1;37;4;1;2
1;1;1;3;1;17;4;0;3
1;5;1;1;1;27;2;0;2
1;2;1;3;1;26;4;0;3
1;4;1;4;1;40;4;0;4
1;6;1;4;1;38;4;0;4
0;1;1;3;1;42;4;1;2
1;4;0;4;1;47;4;0;4
0;2;0;3;1;37;3;1;2
0;1;0;2;1;26;4;0;3
1;10;1;4;1;49;4;0;4
1;1;1;2;1;30;4;1;4
1;4;1;4;1;26;2;0;3
0;0;1;3;1;24;4;1;3
0;2;0;4;1;34;4;0;4
1;3;1;2;1;45;3;0;1
1;5;1;4;1;44;4;1;4
0;4;1;3;1;49;3;0;2
0;2;1;4;1;37;4;0;4
1;3;1;4;1;26;4;0;2
0;4;1;3;1;34;4;0;4
